Municipality,2023 population,Poverty percent,Disability percent,Age 65+ percent,Above service-area poverty average (8%),Above service-area disability average (12%),Above service-area age 65+ average (22%)
Canaan,3801,13,19,23,Yes,Yes,Yes
Dorchester,431,17,26,39,Yes,Yes,Yes
Enfield,4488,13,13,29,Yes,Yes,Yes
Fairlee,1042,11,10,32,Yes,No,Yes
Grafton,1248,8,17,21,No,Yes,No
Grantham,3434,0,7,24,No,No,Yes
Hanover,11702,7,7,18,No,No,No
Hartford,10713,11,16,23,Yes,Yes,Yes
Hartland,3462,8,13,26,No,Yes,Yes
Lebanon,14759,9,13,21,Yes,Yes,No
Lyme,1672,2,13,26,No,Yes,Yes
Norwich,3628,3,9,14,No,No,No
Orange,301,7,10,19,No,No,No
Orford,1289,8,7,24,No,No,Yes
Piermont,928,5,15,20,No,Yes,No
Plainfield,2493,5,13,22,No,Yes,No
Sharon,1518,5,11,24,No,No,Yes
Thetford,2802,7,11,21,No,No,No
Woodstock,3025,8,10,29,No,No,Yes
